Nom,Code
 MEKORYUK         ,PAMY
 METLAKATLA       ,PAMM
 MIDDLETON IS 88D ,PAIH
 MIDDLETON ISLAND ,PAMD
 MINCHUMINA       ,PAMH
 MOUNTAIN VILLAGE ,PAMO
 NABESNA          ,PABN
 NAPAKIAK         ,PANA
 NELSON LAGOON    ,PAOU
 NENANA           ,PANN
 NEW STUYAHOK     ,PANW
 NIKOLAI          ,PAFS
 NOATAK           ,PAWN
 NOME/88D/PAEC    ,PAEC
 NOME             ,PAOM
 NOORVIK          ,PFNO
 NORTHWAY         ,PAOR
 NUIQSUT          ,PAQT
 NUIQSUT          ,PPNU
 NUIQSUT VILLAGE  ,PALP
 NUNAPITCHUK      ,PPIT
 OLIKTOK POINT    ,POLI
 OOOGURUK ISLAND  ,PFNU
 PALMER           ,PAAQ
 PAXSON           ,PAXK
 PETERSBURG       ,PAPG
 PILOT POINT      ,PAPN
 PLATINUM         ,PAPM
 POINT HOPE       ,PAPO
 POINT LAY        ,PPIZ
 POINT THOMPSON   ,PAAD
 PORTAGE GLACIER  ,PATO
 PORT ALEXANDER   ,PAAP
 PORT ALSWORTH    ,PALJ
 PORT CLARENCE    ,PAPC
 PORT HEIDEN      ,PAPH
 PROSPECT CREEK   ,PAPR
 PRUDHOE BAY      ,PAUD
 PUNTILLA LAKE    ,PAPT
 QUINHAGAK        ,PAQH
 REG DOG          ,PADG
 REG DOG          ,PARD
 RUBY             ,PARY
 RUSSIAN MISSION  ,PARS
 SAINT MARYS      ,PASM
 SAND POINT       ,PASD
 SAVOONGA         ,PASA
 SCAMMON BAY      ,PACM
 SELAWIK          ,PASK
 SELDOVIA         ,PASO
 SEWARD           ,PAWD
 SHAGELUK         ,PAHX
 SHAKTOOLIK       ,PFSH
 SHISHMAREF       ,PASH
 SHUNGNAK         ,PAGH
 SITKA/BIORKA/88D ,PACG
 SITKA            ,PASI
 SKAGWAY          ,PAGY
 SKWENTNA         ,PASW
 SLANA            ,PADT
 SLEETMUTE        ,PASL
 SNOWSHOE LAKE    ,PALK
 SOLDOTNA         ,PASX
 SOUTH NAKNEK     ,PFWS
 SPARREVOHN       ,PASV
 ST GEORGE        ,PAPB
 ST MICHAEL       ,PAMK
 STONY RIVER LAND ,PAER
 ST PAUL ISLAND   ,PASN
 SUTTON           ,PAJV
 TAHNETNA PASS LO ,PASP
 TALKEETNA        ,PATK
 TALKEETNA PROF   ,    
 TANANA           ,PATA
 TATALINA AFS     ,PATL
 TELLER           ,PATE
 TIN CITY AFS     ,PATC
 TOGIAK           ,PATG
 TOKSOOK BAY      ,PAOO
 UMIAT            ,PAUM
 UNALAKLEET       ,PAUN
 UTQIAGVIK        ,PABR
 VALDEZ           ,PAVD
 VALDEZ WSO       ,PAVW
 WAINWRIGHT       ,PAWI
 WALES            ,PAIW
 WASILLA          ,PAWS
 WHITE MOUNTAIN   ,PAWM
 WHITTIER         ,PAWR
 WILDER NATWICK   ,PAKX
 WILLOW           ,PAUO
 WOLVERINE ROAD   ,PAIZ
 WRANGELL         ,PAWG
 YAKUTAT          ,PAYA
 ALABASTER        ,KEET
 ALBERTVILLE MUNI ,K8A0
 ALEXANDER/RUSSEL ,KALX
 ANDALUSIA/OPP AR ,K79J
 ANNISTON         ,KANB
 AUBURN OPELIKA A ,KAUO
 AUBURN UNIV. (AM ,KAUB
 BAY MINETTE      ,K1R8
 BESSEMER         ,KEKY
 BIRMINGHAM       ,KBHM
 BRMNGHM/ALABASTR ,KBMX
 CENTREVILLE WSM  ,K0A8
 CENTREVILLE WSM  ,KCKL
 COURTLAND        ,K9A4
 CULLMAN/FOLSOM F ,K3A1
 CULLMAN/FOLSOM F ,KCMD
 DAUPHIN ISLAND   ,K4R9
 DECATUR          ,KDCU
 DEMOPOLIS        ,KDYA
 DOTHAN           ,KDHN
 ENTERPRISE       ,KEDN
 EUFAULA          ,KEUF
 EVERGREEN        ,KGZH
 FAIRHOPE         ,K4R4
 FAIRHOPE         ,KCQF
 FLORALA MUNI     ,K0J4
 FT PAYNE/ISBELL  ,K4A9
 FT RUCKER 88D    ,KEOX
 FT RUCKER/HANCHE ,KHEY
 FT RUCKER/SHELL  ,KSXS
 GADSDEN MUNI     ,KGAD
 GREENVILLE       ,KPRN
 GULF SHORES      ,KJKA
 HALEYVILLE       ,K1M4
 HEADLAND         ,K0J6
 HEADLAND         ,KHDL
 HUNTSVILLE       ,KHSV
 HUNTSVILLE/MADIS ,KM82
 HUNTSVILLE/MADIS ,KMDQ
 HYTOP/88D        ,KHTX
 JASPER/WALKER    ,KJFX
 LOWE AHP/FT. RUC ,KLOR
 MARION           ,KA08
 MAXWELL AFB 88D  ,KMXX
 MAXWELL AFB/MGM  ,KMXF
 MOBILE/BATES     ,KMOB
 MOBILE/BROOKLEY  ,KBFM
 MONTGOMERY       ,KMGM
 MUSCLE SHOAL     ,KMSL
 OZARK/CAIRNS AAF ,KOZR
 PELL CITY        ,KPLR
 PHI OIL PLAT     ,KRAM
 PRATTVILLE       ,K1A9
 REDSTONE ARSENAL ,KHUA
 SCOTTSBORO       ,K4A6
 SELMA/CRAIG FLD  ,KSEM
 SEMMNES VOR      ,KSJI
 SYLACAUGA        ,KSCD
 TALLADEGA        ,KASN
 TROY             ,KTOI
 TUSCALOOSA       ,KTCL
 VIOSCA KNOLL768  ,KVOA
 VULCAN VOR       ,KVUZ
 ARKADELPHIA      ,KADF
 ARKADELPHIA      ,KM89
 BATESVILLE       ,KBVX
 BENTON           ,KSUZ
 BENTONVILLE      ,KH00
 BENTONVILLE      ,KVBT
 BENTONVILLE (NW) ,KXNA
 BLYTHEVILLE      ,KBYH
 BLYTHEVILLE      ,KHKA
 CAMDEN           ,KCDH
 CANTRELL         ,KCXW
 CLINTON MUNI     ,KCCA
 CORNING          ,K4M9
 DE QUEEN         ,KDEQ
 DEQUEEN PROFILER ,KDQU
 EL DORADO        ,KELD
 FAYETTEVILLE     ,KFYV
 FLIPPIN (AWOS)   ,KFLP
 FORT CHAFFEE     ,    
 FORT SMITH       ,KFSM
 HARRISON         ,KHRO
 HOT SPRINGS      ,KHOT
 JONESBORO        ,KJBR
 LITTLE ROCK AFB  ,KLRF
 LITTLE ROCK      ,KLIT
 MAGNOLIA         ,KAGO
 MENA INTERMTN    ,KM39
 MENA INTERMTN    ,KMEZ
 MONTICELLO       ,KLLQ
 MOUNTAIN HOME    ,KBPK
 MOUNT IDA        ,KMWT
 NEWPORT          ,KM19
 N LITTLE ROCK    ,KORK
 N. LITTLE ROCK   ,KLZK
 PINE BLUFF/GRIDR ,KPBF
 RAZORBACK VOR    ,KRZC
 ROGERS           ,KROG
 RUSSELLVILLE     ,KRUE
 SEARCY           ,KSRC
 SILOAM SPRING    ,KSLG
 SLATINGTON MTN.  ,KSRX
 SPRINGDALE MUNI  ,KASG
 STUTTGART        ,KSGT
 TEXARKANA        ,KTXK
 WALNUT RIDGE     ,KARG
 W MEMPHIS MUNI   ,KAWM
 AK-CHIN          ,KA39
 BUCKEYE          ,KBXK
 BULLHEAD CITY    ,KIFP
 CASA GRANDA      ,KCGZ
 CHANDLER         ,KCHD
 CHANDLER/MESA    ,KIWA
 COCONINO/FLAGSTF ,KFSX
 COLORADO CITY    ,KAZC
 COOLIDGE MUNI    ,KP08
 COTTONWOOD       ,KP52
 DAVIS/TUCSON     ,KDMA
 DOUGLAS BISBEE   ,KDUG
 FLAGSTAFF/BELLEM ,KFGZ
 FLAGSTAFF        ,KFLG
 FORT HUACHUCA    ,KFHU
 GILA BEND (AAF)  ,KGBN
 GILA BEND (AAF)  ,KGXF
 GLENDALE         ,KGEU
 GOODYEAR MUNICIP ,KGYR
 GRAND CANYON     ,KGCN
 GRAND CANYON/VAL ,K40G
 KINGMAN          ,KIGM
 LAGUNA (AAF)     ,KLGF
 LAKE HAVASU CITY ,KHII
 LUKE AFB/GLENDAL ,KLUF
 MARANA           ,KMZJ
 MESA/FALCON FLD  ,KFFZ
 NOGALES          ,K13A
 NOGALES          ,KOLS
 PAGE             ,KPGA
 PAYSON           ,K0E4
 PAYSON           ,KPAN
 PEACH SPRING     ,KPGS
 PHOENIX/DEER VLY ,KDVT
 PHOENIX/SKY HRBR ,KPHX
 PHOENIX/WFO      ,KPSR
 PIMA COUNTY/88D  ,KEMX
 PIONEER AIRFIELD ,KALK
 PRESCOTT         ,KPRC
 PRESCOTT(VOR)    ,KDRK
 SAFFORD          ,KE74
 SAFFORD          ,KSAD
 SAN SIMON        ,KSSO
 SCOTTSDALE       ,KSDL
 SEDONA           ,KSEZ
 SHOW LOW         ,KE03
 SHOW LOW MUNICIP ,KSOW
 SPRINGERVILLE    ,KJTC
 ST. JOHNS        ,KSJN
 TAYLOR           ,KTYL
 TUBA CITY        ,KT03
 TUBA CITY        ,KTBC
 TUCSON           ,KTUS
 TUCSON/MARANA    ,KAVQ
 TUCSON/RYAN FLD  ,KRYN
 TUCSON/WFO       ,KTWC
 WILLIAMS CLARK   ,KCMR
 WINDOW ROCK      ,KP34
 WINDOW ROCK      ,KRQE
 WINSLOW          ,KINW
 YUMA/88D         ,KYUX
 YUMA AUX         ,KNOZ
 YUMA INTL        ,KYUM
 YUMA MCAS        ,KNYL
 YUMA PRVG GROUN  ,    
 YUMA PRVG GROUN  ,K1Y7
 YUMA (VOR)       ,KBZA
 ALAMEDA NAS      ,KNGZ
 ALTURAS          ,KAAT
 ALTURAS          ,KO00
 ALTURAS          ,KS11
 APPLE VALLEY     ,KAPV
 ARCATA/EUREKA    ,KACV
 AUBURN MUNI      ,KAUN
 AVALON           ,KAVX
 BAKERSFIELD      ,KBFL
 BAKERSFIELD(VOR) ,KEHF
 BEALE AFB/MARYSV ,KBAB
 BEALE/ORO DAM    ,KBBX
 BEAUMONT         ,KBUO
 BICYCLE LAKE     ,KBYS
 BIG BEAR CITY    ,KL35
 BISHOP           ,KBIH
 BLYTHE           ,KBLH
 BODEGA BAY       ,K92Q
 BORREGO SPRINGS  ,KL08
 BRIDGEPORT       ,KO57
 BRIDGEPORT(MCMWT ,KBAN
 BURBANK          ,KBUR
 BURNEY           ,KBNY
 BYRON            ,KC83
 CALEXICO INTL    ,KCXL
 CAMARILLO        ,KCMA
 CAMPO            ,KCZZ
 CAMP PENDLETON   ,KNFG
 CAMP ROBERTS     ,KSYL
 CARLSBAD         ,KCRQ
 CEDARVILLE       ,KO59
 CHESTER          ,KO05
 CHICO MUNICIPAL  ,KCIC
 CHINA LAKE (NAF) ,KNID
 CHINO            ,KCNO
 COLUMBIA         ,KO22
 CONCORD          ,KCCR
 CORONA MUNI      ,KAJO
 COSTA MESA       ,KSNA
 CRESCENT CITY    ,KCEC
 CROWS LANDING    ,KNRC
 CUDDLEBACK GUN R ,    
 DAGGETT          ,KDAG
 DAVIS YOLO CNTY  ,KDWA
 DAVIS            ,KEDU
 DELANO           ,KDLO
 EDWARDS AFB/88D  ,KEYX
 EDWARDS AFB      ,KEDW
 EDWARDS N-AUX    ,K9L2
 EL CENTRO NAF    ,KNJK
 EL MONTE         ,KEMT
 EL TORO MCAS     ,KNZJ
 EMIGRANT GAP     ,KBLU
 EUREKA/MURRAY    ,KEKA
 FALLBROOK AIRPAR ,KL18
 FORT ORD/FRITZSC ,KOAR
 FORTUNA/FOT/VOR  ,    
 FORTUNA          ,KFOT
 FRESNO CHANDLER  ,KFCH
 FRESNO           ,KFAT
 FRESNO(VOR)      ,KCZQ
 FULLERTON        ,KFUL
 GRASS VALLEY     ,KGOO
 HALF MOON BAY    ,KHAF
 HANFORD          ,KHJO
 HANFORD          ,KO18
 HANFORD/SAN JOAQ ,KHNX
 HAWTHORNE        ,KHHR
 HAYWARD          ,KHWD
 HEALDSBURG       ,KHES
 HECTOR(VOR)      ,KHEC
 HEMET            ,KHMT
 HOLLISTER MUNI   ,KCVH
 HUMBOLDT CTY/88D ,KBHX
 HUNTER LIGGET    ,KHGT
 IMPERIAL BEACH   ,KNRS
 IMPERIAL         ,KIPL
 INYOKERN         ,KIYK
 JACKSON          ,KJAQ
 LANCASTER/FOX    ,KWJF
 LA VERNE/BRACKET ,KPOC
 LA / WHITEMAN    ,KWHP
 LEMOORE NAS/REEV ,KNLC
 LINCOLN          ,KLHM
 LITTLE RIVER     ,KLLR
 LIVERMORE        ,KLVK
 LOMPOC           ,KLPC
 LONG BEACH       ,KLGB
 LOS ALAMITOS AAF ,KSLI
 LOS ANGELES      ,KCQT
 LOS ANGELES      ,KLAX
 LOS ANGELES/OXNA ,KLOX
 LOS ANGELS/ARTCC ,KZLA
 MADERA           ,KMAE
 MAMMOTH/JUNE LAK ,KMMH
 MARCH AFB/88D    ,KRIX
 MARYSVILLE       ,KMYV
 MATHER FIELD     ,KMHR
 MCCLELLAN AFB    ,KMCC
 MERCED/CASTLE AF ,KMER
 MERCED           ,KMCE
 MIRAMAR NAS/SAN  ,KNKX
 MISSION BAY VOR  ,KMZB
 MODESTO          ,KMOD
 MOFFETT NAS/MTN  ,KNUQ
 MOJAVE           ,KMHV
 MONTAGUE/SISKIYO ,KSIY
 MONTAGUE/YREKA   ,K1O5
 MONTEREY         ,KMRY
 MONTEREY/WFO     ,KMTR
 MOUNT SHASTA     ,KMHS
 MOUNT WILSON     ,KMWS
 MURRIETA/TEMECUL ,KF70
 NAPA             ,KAPC
 NEEDLES          ,KEED
 NEWHALL          ,K3A6
 NORTH ISLAND NAS ,KNZY
 NOVATO/GNOSS FLD ,KDVO
 OAKLAND/ARTCC    ,KZOA
 OAKLAND          ,KOAK
 OCEANO CNTY      ,KL52
 OCEANSIDE        ,KL32
 OCEANSIDE        ,KOKB
 OCEANSIDE/RED-B  ,KNXF
 ONTARIO          ,KONT
 ORANGE CTY/88D   ,KSOX
 ORCUTT OIL/VBG   ,KVBX
 OROVILLE         ,KOVE
 OXNARD           ,KOXR
 PALMDALE         ,KGXA
 PALMDALE         ,KPMD
 PALM SPRINGS     ,KPSP
 PALO ALTO        ,KPAO
 PASO ROBLES      ,KPRB
 PETALUMA         ,KO69
 PILAR POINT AFS  ,K53Q
 PLACERVILLE      ,KPVF
 POINT ARENA      ,    
 POINT ARENA      ,KPAA
 POINT ARGUELLO   ,    
 POINT ARGUELLO   ,KPGU
 POINT MUGU NAS   ,KNTD
 POINT REYES VOR  ,KPYE
 PORTERVILLE      ,KPTV
 PT. PIEDRAS BLAN ,K87Q
 RAMONA           ,KRNM
 RANCHO MURIETA   ,KRIU
 RED BLUFF        ,KRBL
 REDDING          ,KRDD
 REDLANDS         ,KREI
 REEDLEY          ,KO32
 RIO VISTA        ,KO88
 RIVERSIDE        ,KRAL
 RIVERSIDE/MARCH  ,KRIV
 ROMONA           ,KL39
 SACRAMENTO/88D   ,KDAX
 SACRAMENTO       ,KSAC
 SACRAMENTO/METRO ,KSMF
 SACRAMENTO/RFC   ,KRSA
 SACRAMENTO/WFO   ,KSTO
 SALINAS          ,KSNS
 SALTON SEA       ,    
 SAN ANDREAS      ,KCPU
 SAN BERNARDINO   ,KSBD
 SAN CARLOS AIRPO ,KSQL
 SAN CLEMENTE IS. ,KNUC
 SANDBERG         ,KSDB
 SAN DIEGO/BROWN  ,KSDM
 SAN DIEGO        ,KSAN
 SAN DIEGO/MNTGMY ,KMYF
 SAN DIEGO/SANTEE ,KSEE
 SAN DIEGO/WFO    ,KSGX
 SAN FRANCISCO    ,KSFO
 SAN JOSE         ,KSJC
 SAN JOSE/REID    ,KRHV
 SAN LUIS OBISPO  ,KSBP
 SAN MARTIN       ,KE16
 SAN NICOLAS ISLA ,KNSI
 SANTA BARBARA    ,KSBA
 SANTA BARB(VOR)  ,KRZS
 SANTA CLAR/88D   ,KMUX
 SANTA MARIA      ,KSMX
 SANTA MONICA     ,KSMO
 SANTA ROSA       ,KSTS
 SANTA YNEZ       ,KIZA
 SHELTER COVE     ,KO87
 SOUTH LAKE TAHOE ,KTVL
 STOCKTON         ,KSCK
 SUPERIOR VALLEY  ,K4SU
 SUSANVILLE MUNI  ,KSVE
 TEHACHAPI        ,KTSP
 THERMAL/PALM SPG ,KTRM
 TORRANCE MUNICIP ,KTOA
 TRACY            ,KTCY
 TRAVIS AFB/FAIRF ,KSUU
 TRINITY CENTER   ,KO86
 TRUCKEE TAHOE    ,KTRK
 TUSTIN MCAS      ,KNTK
 TWENTYNINE PALMS ,KNXP
 UKIAH            ,KUKI
 UKIAH(VOR)       ,KENI
 UPLAND           ,KCCB
 VACAVILLE        ,KO45
 VACAVILLE        ,KVCB
 VANDENBERG AFB   ,KVBG
 VANDENBERG RANGE ,KXVW
 VAN NUYS         ,KVNY
 VENTURA CTY/88D  ,KVTX
 VICTORVILLE      ,KVCV
 VISALIA MUNI     ,KVIS
 WATSONVILLE      ,KWVI
 WEAVERVILLE      ,KO54
 AKRON            ,KAKO
 ALAMOSA          ,KALS
 ASPEN            ,KASE
 BALD MOUNTAIN    ,K7BM
 BERTHOUD PASS    ,K0CO
 BOULDER DEN/WFO  ,KBOU
 BOULDER MUNI     ,KBDU
 BROOMFIELD/JEFFC ,KBJC
 BUCKLEY ANGB/DEN ,KBKF
 BUENA VISTA      ,KAEJ
 BURLINGTON       ,KITR
 CANON CITY       ,K1V6
 CHEYENNE MOUNTAI ,KCWN
 COLORADO SPRINGS ,KCOS
 CORONA PASS      ,KCRV
 CORTEZ           ,KCEZ
 CO SPNGS MEADOW  ,KFLY
 CRAIG            ,KCAG
 DAKOTA HILL      ,KC99
 DEL NORTE        ,KRCV
 DELTA/BLAKE FLD  ,KAJZ
 DENVER AIR SPACE ,KCFO
 DENVER/ARAPAHOE  ,KAPA
 DENVER/ARTCC     ,KZDV
 DENVER (DIA)     ,KDEN
 DENVER F. RANGE  ,KFTG
 DENVER/STAPLETON ,KDNR
 DOVE CREEK       ,KDVC
 DURANGO(AWRS)    ,K4V5
 DURANGO          ,KDRO
 EAGLE CO. REGION ,KEGE
 ELLICOTT-B AFA   ,KABH
 ERIE MUNI        ,KEIK
 FLAGLER          ,KFLA
 FORT CARSON      ,KFCS
 FORT COLLINS     ,KFCL
 FORT MORGAN      ,KFMM
 FRASER           ,K4FC
 FT COLLINS/LOVEL ,KFNL
 GRANADA PROFILER ,    
 GRANBY/GRAND CO  ,KGNB
 GRAND JUNC/MESA  ,KGJX
 GRAND JUNCTION   ,KGJT
 GRAND JUNCTION   ,KJNC
 GREELEY/WELD     ,KGXY
 GUNNISON/AWRS    ,K2V9
 GUNNISON         ,KGUC
 GUNNISON(VOR)    ,KHBU
 HAYDEN VOR       ,KCHE
 HAYDEN/YAMPA     ,KHDN
 HOLYOKE          ,KHEQ
 JULIET MADIS     ,K1JW
 KIRK             ,K72C
 KREMMLING AWOS   ,K20V
 LA JUNTA         ,KLHX
 LAMAR            ,K4LJ
 LAMAR            ,KLAA
 LA VETA PASS     ,KVTP
 LEADVILLE        ,KLXV
 LIMA MADIS       ,K1LW
 LIMON            ,KLIC
 LONGMONT/VBRAND  ,KLMO
 MEEKER           ,KEEO
 MIKE MADIS       ,K1MW
 MONARCH PASS     ,KMYP
 MONTROSE         ,KMTJ
 MONUMENT/ELBERT  ,KMNH
 MT WERNER SBS    ,K3MW
 NOVEMBER MADIS   ,K1NW
 NUCLA/HOPKINS F  ,KAIB
 OSCAR MADIS      ,K1OW
 PAGOSA SPRINGS   ,KPSO
 PETERSON AFB     ,KPEF
 PLATTEVILLE PROF ,    
 PUEBLO CTY 88D   ,KPUX
 PUEBLO           ,KPUB
 RANGELY          ,K4V0
 RED CLIFF PASS   ,KCCU
 RED TABLE VOR    ,KDBL
 RIFLE            ,KRIL
 SAGUACHE MUNI    ,K04V
 SALIDA           ,KANK
 SALIDA           ,KS29
 SCHRIEVER AFB    ,KSHM
 SPRINGFIELD      ,KSPD
 STEAMBOAT SPRING ,KSBS
 STERLING         ,KSTK
 STRATTON         ,KSTR
 SUNLIGHT         ,K5SM
 TELLURIDE REGION ,KTEX
 TOBE/VOR         ,KTBE
 TRINIDAD/ANIMAS  ,KTAD
 USAF ACADEMY/COS ,KAFF
 WALDEN           ,K33V
 WALSENBURG       ,K4V1
 WALTON PEAK      ,KC07
 WILKERSON PASS   ,K4BM
 WINTER PARK      ,KC96
 WOLF CREEK PASS  ,KCPW
 WRAY             ,K2V5
 YUMA             ,K2V6
 BRIDGEPORT       ,KBDR
 CHESTER          ,KSNC
 DANBURY          ,KDXR
 GROTON/NEW LONDO ,KGON
 HARTFORD/BRAINAR ,KHFD
 MANSFIELD        ,K5B0
 MERIDEN          ,KMMK
 NEW HAVEN/TWEED  ,KHVN
 OXFORD/WATERBURY ,KOXC
 PUTNAM           ,K5B3
 WILLIMANTIC      ,KIJD
 WINDSOR LOCKS    ,KBDL
 DOVER AFB        ,KDOV
 DOVER/CHESWOLD   ,K33N
 DOVER/ELLENDALE  ,KDOX
 GEORGETOWN       ,KGED
 WILMINGTON       ,KILG
 ALLIGATOR REEF   ,    
 APALACHICOLA     ,KAAF
 APALACHICOLA     ,KAQQ
 ASTOR            ,K90J
 AVON PARK        ,KAGR
 BARTOW MUNICIPAL ,KBOW
 BOCA RATON       ,KBCT
 BONIFAY TRI-CTY  ,K1J0
 BONIFAY TRI-CTY  ,KBCR
 BROOKSVILLE      ,KBKV
 CAPE CANAVERAL   ,KXMR
 CAPE SAN BLAS    ,    
 CAPE SAN BLAS    ,    
 CECIL FIELD NAS  ,KNZC
 CLEARWATER       ,KCLW
 CLEWISTOWN       ,K2IS
 CRESTVIEW        ,KCEW
 CROSS CITY       ,KCTY
 CRYSTAL RIVER    ,KCGC
 DAYTONA BEACH    ,KDAB
 DEERFIELD BEACH  ,    
 DE FUNIAK SPRNGS ,K54J
 DELAND           ,KDED
 DESTIN           ,KDTS
 DUKE FLD/EGLIN   ,KEGI
 EGLIN AFB        ,    
 EGLIN AFB/88D    ,KEVX
 EGLIN AFB/VALPAR ,KVPS
 EVERGLADES CITY  ,KEGC
 FERNANDINA BEACH ,KFHB
 FLAGLER CNTY     ,KFIN
 FLAMINGO/MONROE  ,KFLM
 FORT MYERS       ,KFMY
 FORT MYERS       ,KRSW
 FORT PIERCE      ,KFPR
 FT LAUDERD/EXEC  ,KFXE
 FT LAUDERD/HOLLY ,KFLL
 GAINESVILLE      ,KGNV
 HOLLYWOOD        ,KHWO
 HOMESTEAD AFB    ,KHST
 HURLBURT FIELD   ,KHRT
 IMMOKALEE        ,KIMM
 INVERNESS        ,KINF
 INVERNESS        ,KX40
 JACKSONVIL/ARTCC ,KZJX
 JACKSONVIL/CECIL ,KVQQ
 JACKSONVIL/CRAIG ,KCRG
 JACKSONVIL/HERLO ,KHEG
 JACKSONVILLE     ,KJAX
 JACKSONVILLE NAS ,KNIP
 JACKSONVIL/NAVAL ,KNEN
 KEYSTONE HEIGHTS ,K42J
 KEY LARGO      _ ,KK70
 KEY W/BOCA CHICA ,KBYX
 KEY WEST         ,KEYW
 KEY WEST         ,KKEY
 KEY WEST NAS     ,KNQX
 KISSIMMEE/ORLAND ,KISM
 LA BELLE         ,KX14
 LAKE CITY        ,KLCQ
 LAKELAND REGIONA ,KLAL
 LAKE WALES       ,KX07
 LAKE WORTH       ,    
 LANTANA/PALM BEA ,KLNA
 LEESBURG         ,KLEE
 LIVE OAK/SUWANNE ,K24J
 MACDILL AFB/TAMP ,KMCF
 MARATHON         ,KMTH
 MARCO ISLAND     ,KMKY
 MARIANNA         ,KMAI
 MAYPORT NAS      ,KNRB
 MELBOURNE        ,KMLB
 MERRITT ISLAND   ,KCOI
 MIAMI/88D        ,KAMX
 MIAMI/ARTCC      ,KZMA
 MIAMI BEACH      ,KMBF
 MIAMI/EXECUTIVE  ,KTMB
 MIAMI            ,KMIA
 MIAMI/OPA LOCKA  ,KOPF
 MIAMI/WFO        ,KMFL
 MILTON/WHITING S ,KNDZ
 MOLASSES REEF    ,    
 NAPLES MUNICIPAL ,KAPF
 NASA SHUTTLE FCL ,KTTS
 NATL HURR CENTER ,KNHC
 NEW PORT RICHEY  ,KRRF
 NEW SMYRNA BEACH ,KEVB
